orig,new,sentence
substrate:1:-:0:recruit:2:adaptor:0:protein:3:interaction:4:scaffold:5:serve:6:cullin:0:component,substrate:1:-:0:recruit:2:adaptor:0:protein:3:interaction:4:scaffold:5:serve:6:cullen:0:component,The cullin E3 ligase complexes are the most abundant class of E3 ligases they contain various cullin components that serve as scaffolds for interaction with substraterecruiting adaptor proteins
cullin:0:component,cullen:0:component,The cullin E3 ligase complexes are the most abundant class of E3 ligases they contain various cullin components that serve as scaffolds for interaction with substraterecruiting adaptor proteins
p:0:phosphoru,p:0:phosphorus,For phosphorus P almost all XANES measurements have been carried out at the Kedge
phosphoru,phosphorus,For phosphorus P almost all XANES measurements have been carried out at the Kedge
phenyl:0:ring:1:pyrazoline:0:ring:2:diheral:0:angle,phenyl:0:ring:1:pyrazoline:0:ring:2:dihedral:0:angle,The salicylic phenyl ring forms a dihedral angle of 605 emsp14 9 deg  relate to the pyrazoline ring while the diheral angle between the pyrazoline ring and the phenyl ring directly attached to it is 532 emsp14 6 deg 
diheral:0:angle,dihedral:0:angle,The salicylic phenyl ring forms a dihedral angle of 605 emsp14 9 deg  relate to the pyrazoline ring while the diheral angle between the pyrazoline ring and the phenyl ring directly attached to it is 532 emsp14 6 deg 
diheral,dihedral,The salicylic phenyl ring forms a dihedral angle of 605 emsp14 9 deg  relate to the pyrazoline ring while the diheral angle between the pyrazoline ring and the phenyl ring directly attached to it is 532 emsp14 6 deg 
si:0:atom:1:coordinaton,si:0:atom:1:coordinator,The coordinaton around the Si atom is distorted tetrahedral
coordinaton,coordinator,The coordinaton around the Si atom is distorted tetrahedral
oxygen:2:phosphoru:0:carbon:1:replacement,oxygen:2:phosphorus:0:carbon:1:replacement,S 1950 emsp14 3 emsp14  Aring  because the replacement of one carbon on phosphorus by oxygen increases the effective electronegativity of the P atom thereby enhancing p pi  ndash d pi  backdonation from a lonepair orbital of the S atom
phosphoru:0:carbon:1:replacement,phosphorus:0:carbon:1:replacement,S 1950 emsp14 3 emsp14  Aring  because the replacement of one carbon on phosphorus by oxygen increases the effective electronegativity of the P atom thereby enhancing p pi  ndash d pi  backdonation from a lonepair orbital of the S atom
phosphoru:0:carbon,phosphorus:0:carbon,S 1950 emsp14 3 emsp14  Aring  because the replacement of one carbon on phosphorus by oxygen increases the effective electronegativity of the P atom thereby enhancing p pi  ndash d pi  backdonation from a lonepair orbital of the S atom
phosphoru,phosphorus,S 1950 emsp14 3 emsp14  Aring  because the replacement of one carbon on phosphorus by oxygen increases the effective electronegativity of the P atom thereby enhancing p pi  ndash d pi  backdonation from a lonepair orbital of the S atom
exemestane:1:synthetic:0:percursor:2:androstenedione:3:derivative,exemestane:1:synthetic:0:precursor:2:androstenedione:3:derivative,In the title compound C20H26O2 which is the 6methylene derivative of androstenedione and a synthetic percursor of exemestane the steroid A ring approximates to a sofa or envelope conformation with the methylene group adjacent to the link to the B ring lying out of the plane of the other atoms
exemestane:1:synthetic:0:percursor:2:androstenedione,exemestane:1:synthetic:0:precursor:2:androstenedione,In the title compound C20H26O2 which is the 6methylene derivative of androstenedione and a synthetic percursor of exemestane the steroid A ring approximates to a sofa or envelope conformation with the methylene group adjacent to the link to the B ring lying out of the plane of the other atoms
exemestane:1:synthetic:0:percursor,exemestane:1:synthetic:0:precursor,In the title compound C20H26O2 which is the 6methylene derivative of androstenedione and a synthetic percursor of exemestane the steroid A ring approximates to a sofa or envelope conformation with the methylene group adjacent to the link to the B ring lying out of the plane of the other atoms
synthetic:0:percursor,synthetic:0:precursor,In the title compound C20H26O2 which is the 6methylene derivative of androstenedione and a synthetic percursor of exemestane the steroid A ring approximates to a sofa or envelope conformation with the methylene group adjacent to the link to the B ring lying out of the plane of the other atoms
percursor,precursor,In the title compound C20H26O2 which is the 6methylene derivative of androstenedione and a synthetic percursor of exemestane the steroid A ring approximates to a sofa or envelope conformation with the methylene group adjacent to the link to the B ring lying out of the plane of the other atoms
phenyl:0:ring:1:dihredral:0:angle,phenyl:0:ring:1:dihedral:0:angle,dihredral angles between the phenyl rings
dihredral:0:angle,dihedral:0:angle,dihredral angles between the phenyl rings
.:6:nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinane:2:series:4:compound:5:title:0:compound,.:6:nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinanes:2:series:4:compound:5:title:0:compound,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinane:2:series:4:compound:5:title:0:compound,nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinanes:2:series:4:compound:5:title:0:compound,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinane:2:series:4:compound,nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinanes:2:series:4:compound,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinane:2:series,nitrogen:0:ndash:1:boron:0:heterocycle:2:position:3:substitution:0:feature:1:diazaborinanes:2:series,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
substitution:0:feature:1:diazaborinane:2:series,substitution:0:feature:1:diazaborinanes:2:series,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
substitution:0:feature:1:diazaborinane,substitution:0:feature:1:diazaborinanes,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
diazaborinane,diazaborinanes,The title compound C16H13BN2 is one compound in a series of diazaborinanes featuring substitution at the 1 2 and 3 positions in the nitrogen ndash boron heterocycle
