docID,sentence,subject,predicate,object,root,synonyms,level,distance
10.1107/S160053681000228X,Further consolidation of the crystal structure is accomplished by extensive O mdash H,Further consolidation of the crystal structure,accomplished by,extensive O mdash H,accomplish,"{'action', 'attain', 'fulfil', 'accomplish', 'fulfill', 'achieve', 'reach', 'execute'}",3,20,crystal:0:structure:1:further:0:consolidation,extensive:2:o:1:mdash:0:h,is,3
10.1107/S0108270196011778,title compound NN prime pphenylenebis4methylbenzamide C22H20N2O2 crystallizes with an almost linear arrangement of the three benzene units but both outer benzene ring planes are twisted relative to the plane of the central ring by 5803 emsp14 6 deg ,title compound,crystallizes with,almost linear arrangement of the three benzene units,crystallize,"{'enlighten', 'elucidate', 'crystallize', 'crystallise', 'illuminate', 'crystalise', 'effloresce'}",2,72,title:0:compound,benzene:0:unit:1:linear:0:arrangement,,7
10.1107/S0108270196011778,OC hydrogen bonds perpendicular to the long axis of the molecules connect them into ribbons parallel to the a axis,long axis,connect,parallel to the a axis,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",1,44,long:0:axis,axis:0:parallel,,7
10.1107/S0108270196011778,OC hydrogen bonds perpendicular to the long axis of the molecules connect them into ribbons parallel to the a axis,long axis of the molecules,connect,ribbons parallel to the a axis,connect,"{'connect', 'colligate', 'join', 'unite', 'associate', 'relate', 'link', 'tie'}",2,19,molecule:1:long:0:axis,axis:0:parallel:1:ribbon,,3
10.1107/S0021889809007171,10 rang  were calculated in the kinematic approach using the Monte Carlo computer simulation technique,kinematic approach,using,computer simulation,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,23,kinematic:0:approach,computer:0:simulation,,4
10.1107/S0021889809007171,10 rang  were calculated in the kinematic approach using the Monte Carlo computer simulation technique,kinematic approach,using,computer simulation technique,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,23,kinematic:0:approach,computer:0:simulation:1:technique,,4
10.1107/S0021889809007171,10 rang  were calculated in the kinematic approach using the Monte Carlo computer simulation technique,kinematic approach,using,Monte Carlo computer simulation technique,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",3,11,kinematic:0:approach,monte:0:carlo:2:computer:0:simulation:1:technique,,2
10.1107/S0021889809007171,Analysis of the intensity distributions showed that such a twin boundary distribution results in the formation of extra peaks along the reciprocal lattice rods that are perpendicular to the closepacked planes,intensity distributions,showed,distribution results,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",1,34,intensity:0:distribution,distribution:0:result,,6
10.1107/S0021889809007171,Analysis of the intensity distributions showed that such a twin boundary distribution results in the formation of extra peaks along the reciprocal lattice rods that are perpendicular to the closepacked planes,Analysis of the intensity distributions,showed,boundary distribution results,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",2,25,intensity:0:distribution:1:analysis,boundary:1:distribution:0:result,,5
10.1107/S0021889809007171,Analysis of the intensity distributions showed that such a twin boundary distribution results in the formation of extra peaks along the reciprocal lattice rods that are perpendicular to the closepacked planes,Analysis of the intensity distributions,showed,twin boundary distribution results,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",3,20,intensity:0:distribution:1:analysis,twin:2:boundary:1:distribution:0:result,,4
10.1107/S0021889808042131,Odd electron diffraction patterns EDPs have been obtained by transmission electron microscopy TEM on silicon nanowires grown via the vapour ndash liquid ndash solid method and on silicon thin films deposited by electron beam evaporation,electron diffraction,been,transmission electron,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,37,electron:0:diffraction,transmission:0:electron,have,6
10.1107/S0021889808042131,Odd electron diffraction patterns EDPs have been obtained by transmission electron microscopy TEM on silicon nanowires grown via the vapour ndash liquid ndash solid method and on silicon thin films deposited by electron beam evaporation,electron diffraction,obtained by,transmission electron,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",1,37,electron:0:diffraction,transmission:0:electron,,6
10.1107/S0021889808042131,Odd electron diffraction patterns EDPs have been obtained by transmission electron microscopy TEM on silicon nanowires grown via the vapour ndash liquid ndash solid method and on silicon thin films deposited by electron beam evaporation,electron diffraction patterns,been,transmission electron microscopy,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,28,electron:0:diffraction:1:pattern,transmission:0:electron:1:microscopy,have,5
10.1107/S0021889808042131,Odd electron diffraction patterns EDPs have been obtained by transmission electron microscopy TEM on silicon nanowires grown via the vapour ndash liquid ndash solid method and on silicon thin films deposited by electron beam evaporation,electron diffraction patterns,obtained by,transmission electron microscopy,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",2,28,electron:0:diffraction:1:pattern,transmission:0:electron:1:microscopy,,5
10.1107/S0021889808042131,Odd electron diffraction patterns EDPs have been obtained by transmission electron microscopy TEM on silicon nanowires grown via the vapour ndash liquid ndash solid method and on silicon thin films deposited by electron beam evaporation,Odd electron diffraction patterns,been,silicon nanowires,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",3,68,odd:2:electron:0:diffraction:1:pattern,silicon:0:nanowire,have,10
10.1107/S0021889808042131,Odd electron diffraction patterns EDPs have been obtained by transmission electron microscopy TEM on silicon nanowires grown via the vapour ndash liquid ndash solid method and on silicon thin films deposited by electron beam evaporation,Odd electron diffraction patterns,obtained by,silicon nanowires,obtain,"{'get', 'receive', 'obtain', 'prevail', 'incur'}",3,68,odd:2:electron:0:diffraction:1:pattern,silicon:0:nanowire,,10
10.1107/S0021889808042131,Many explanations have been given in the past without consensus among the scientific community size artifacts twinning artifacts or more widely accepted the existence of new hexagonal Si phases,Many explanations,been given,scientific community,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,57,many:0:explanation,scientific:0:community,have,10
10.1107/S0021889808042131,Many explanations have been given in the past without consensus among the scientific community size artifacts twinning artifacts or more widely accepted the existence of new hexagonal Si phases,Many explanations,given in,scientific community,give,"{'yield', 'hold', 'present', 'pay', 'gift', 'afford', 'throw', 'give', 'have'}",1,57,many:0:explanation,scientific:0:community,,10
10.1107/S0021889808042131,Many explanations have been given in the past without consensus among the scientific community size artifacts twinning artifacts or more widely accepted the existence of new hexagonal Si phases,Many explanations,been given,consensus among the scientific community,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,37,many:0:explanation,scientific:0:community:1:consensus,have,7
10.1107/S0021889808042131,Many explanations have been given in the past without consensus among the scientific community size artifacts twinning artifacts or more widely accepted the existence of new hexagonal Si phases,Many explanations,given in,consensus among the scientific community,give,"{'yield', 'hold', 'present', 'pay', 'gift', 'afford', 'throw', 'give', 'have'}",2,37,many:0:explanation,scientific:0:community:1:consensus,,7
10.1107/S0021889808042131,In order to resolve this issue the microstructures of Si nanowires and Si thin films have been characterized by TEM highresolution transmission electron microscopy HRTEM and highresolution scanning transmission electron microscopy,Si thin films,been,scanning transmission electron microscopy,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",3,105,si:1:thin:0:film,transmission:0:electron:1:microscopy:2:scan,have,12
10.1107/S0021889808042131,Despite the differences in the geometries and elaboration processes the EDPs of the materials show great similarities,EDPs of the materials,show,great similarities,show,"{'reveal', 'present', 'establish', 'indicate', 'demonstrate', 'prove', 'evidence', 'express', 'testify', 'exhibit', 'point', 'depict', 'picture', 'render', 'show', 'demo', 'display', 'shew', 'evince'}",1,6,material:0:edp,great:0:similarity,,1
10.1107/S0021889808042131,It was found that the positions of the diffraction spots in the EDPs could be reproduced by simulating a hexagonal structure with ca  122312 but the intensities in many EDPs remained unexplained,diffraction spots,reproduced by,hexagonal structure,reproduce,"{'regurgitate', 'procreate', 'reproduce', 'multiply'}",1,49,diffraction:0:spot,hexagonal:0:structure,be,9
10.1107/S0021889808042131,It was found that the positions of the diffraction spots in the EDPs could be reproduced by simulating a hexagonal structure with ca  122312 but the intensities in many EDPs remained unexplained,diffraction spots,simulating,hexagonal structure,simulate,"{'simulate', 'sham', 'imitate', 'copy', 'assume', 'feign', 'model'}",1,49,diffraction:0:spot,hexagonal:0:structure,,9
10.1107/S0021889808042131,It was found that the positions of the diffraction spots in the EDPs could be reproduced by simulating a hexagonal structure with ca  122312 but the intensities in many EDPs remained unexplained,diffraction spots in the EDPs,reproduced by,hexagonal structure,reproduce,"{'regurgitate', 'procreate', 'reproduce', 'multiply'}",2,37,edp:1:diffraction:0:spot,hexagonal:0:structure,be,6
10.1107/S0021889808042131,It was found that the positions of the diffraction spots in the EDPs could be reproduced by simulating a hexagonal structure with ca  122312 but the intensities in many EDPs remained unexplained,diffraction spots in the EDPs,simulating,hexagonal structure,simulate,"{'simulate', 'sham', 'imitate', 'copy', 'assume', 'feign', 'model'}",2,37,edp:1:diffraction:0:spot,hexagonal:0:structure,,6
10.1107/S0021889808042131,It was found that the positions of the diffraction spots in the EDPs could be reproduced by simulating a hexagonal structure with ca  122312 but the intensities in many EDPs remained unexplained,positions of the diffraction spots in the EDPs,reproduced by,hexagonal structure,reproduce,"{'regurgitate', 'procreate', 'reproduce', 'multiply'}",3,37,edp:1:diffraction:0:spot:2:position,hexagonal:0:structure,be,6
10.1107/S0021889808042131,It was found that the positions of the diffraction spots in the EDPs could be reproduced by simulating a hexagonal structure with ca  122312 but the intensities in many EDPs remained unexplained,positions of the diffraction spots in the EDPs,simulating,hexagonal structure,simulate,"{'simulate', 'sham', 'imitate', 'copy', 'assume', 'feign', 'model'}",3,37,edp:1:diffraction:0:spot:2:position,hexagonal:0:structure,,6
10.1107/S0021889808042131,Finally it was established that all the experimental data ie EDPs and HRTEM images agree with a classical cubic silicon structure containing two microstructural defects,experimental data,agree with,cubic silicon,agree,"{'match', 'harmonise', 'check', 'concur', 'accord', 'harmonize', 'fit', 'gibe', 'correspond', 'tally', 'agree', 'concord', 'consort', 'jibe'}",1,49,experimental:0:datum,cubic:0:silicon,,9
10.1107/S0021889808042131,Finally it was established that all the experimental data ie EDPs and HRTEM images agree with a classical cubic silicon structure containing two microstructural defects,experimental data,agree with,cubic silicon structure,agree,"{'match', 'harmonise', 'check', 'concur', 'accord', 'harmonize', 'fit', 'gibe', 'correspond', 'tally', 'agree', 'concord', 'consort', 'jibe'}",2,49,experimental:0:datum,cubic:0:silicon:1:structure,,9
10.1107/S0021889808042131,overlapping  Sigma 3 microtwins which induce extra spots by double diffraction and ii nanotwins which induce extra spots as a result of streaking effects,double diffraction,induce,result of streaking effects,induce,"{'rush', 'make', 'stimulate', 'cause', 'hasten', 'induct', 'induce'}",2,48,double:0:diffraction,effect:0:streak:1:result,,9
10.1107/S1600536803026928,The Zn atom in the polymeric ZnC7H6NO2S2n chain of the title compound lies on a twofold axis,title compound,lies on,twofold axis,lie,"{'belong', 'rest', 'dwell', 'consist', 'lie'}",1,11,title:0:compound,twofold:0:axis,,3
10.1107/S1600536803023997,The crystal packing is stabilized by C mdash H,crystal packing,stabilized by,mdash H,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",1,20,crystal:0:pack,mdash:0:h,is,4
10.1107/S1600536803023997,The crystal packing is stabilized by C mdash H,crystal packing,stabilized by,C mdash H,stabilize,"{'stabilise', 'steady', 'stabilize', 'brace'}",2,18,crystal:0:pack,c:1:mdash:0:h,is,3
10.1107/S0021889808042453,The anomalous smallangle Xray scattering resonant curve at the Ni absorption edge equals the Ni ndash Ni partial structure factor and owing to the favourable neutron scattering lengths of Ni La and Al the neutron scattering curve is also proportional to that partial structure factor,Ni absorption,equals,partial structure,equal,"{'equal', 'equalise', 'be', 'match', 'rival', 'equate', 'equalize'}",1,29,ni:0:absorption,partial:0:structure,,6
10.1107/S0021889808042453,The anomalous smallangle Xray scattering resonant curve at the Ni absorption edge equals the Ni ndash Ni partial structure factor and owing to the favourable neutron scattering lengths of Ni La and Al the neutron scattering curve is also proportional to that partial structure factor,Ni absorption edge,equals,partial structure factor,equal,"{'equal', 'equalise', 'be', 'match', 'rival', 'equate', 'equalize'}",2,24,ni:0:absorption:1:edge,partial:1:structure:0:factor,,5
10.1107/S0021889808042453,The anomalous smallangle Xray scattering resonant curve at the Ni absorption edge equals the Ni ndash Ni partial structure factor and owing to the favourable neutron scattering lengths of Ni La and Al the neutron scattering curve is also proportional to that partial structure factor,partial structure factor,owing to,neutron scattering lengths,owe,{'owe'},2,29,partial:1:structure:0:factor,neutron:0:scatter:1:length,,5
10.1107/S0021889808042453,The anomalous smallangle Xray scattering resonant curve at the Ni absorption edge equals the Ni ndash Ni partial structure factor and owing to the favourable neutron scattering lengths of Ni La and Al the neutron scattering curve is also proportional to that partial structure factor,Ni absorption edge,equals,Ni ndash Ni partial structure factor,equal,"{'equal', 'equalise', 'be', 'match', 'rival', 'equate', 'equalize'}",3,12,ni:0:absorption:1:edge,ni:0:ndash:1:ni:2:partial:0:structure:1:factor,,2
10.1107/S0021889808042453,The anomalous smallangle Xray scattering resonant curve at the Ni absorption edge equals the Ni ndash Ni partial structure factor and owing to the favourable neutron scattering lengths of Ni La and Al the neutron scattering curve is also proportional to that partial structure factor,Ni ndash Ni partial structure factor,owing to,favourable neutron scattering lengths,owe,{'owe'},3,18,ni:0:ndash:1:ni:2:partial:0:structure:1:factor,favourable:2:neutron:0:scatter:1:length,,4
10.1107/S2053229613032804,In the title compound CuC9H5N4OClC12H8N2n or CutcnoetClphenn where phen is 110phenanthroline and tcnoet is 1133tetracyano2ethoxypropenide the axially elongated 4 emsp14  emsp14 2 coordination polyhedron around the CuII centre contains N atoms from three different tcnoet ligands,CuII centre,contains,N atoms,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",1,10,cuii:0:centre,n:0:atom,,1
10.1107/S2053229613032804,In the title compound CuC9H5N4OClC12H8N2n or CutcnoetClphenn where phen is 110phenanthroline and tcnoet is 1133tetracyano2ethoxypropenide the axially elongated 4 emsp14  emsp14 2 coordination polyhedron around the CuII centre contains N atoms from three different tcnoet ligands,coordination polyhedron around the CuII centre,contains,N atoms,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",2,10,cuii:0:centre:1:coordination:0:polyhedron,n:0:atom,,1
10.1107/S2053229613032804,In the title compound CuC9H5N4OClC12H8N2n or CutcnoetClphenn where phen is 110phenanthroline and tcnoet is 1133tetracyano2ethoxypropenide the axially elongated 4 emsp14  emsp14 2 coordination polyhedron around the CuII centre contains N atoms from three different tcnoet ligands,coordination polyhedron around the CuII centre,contains,N atoms from three different tcnoet ligands,contain,"{'contain', 'check', 'hold', 'comprise', 'curb', 'moderate', 'control', 'incorporate', 'arrest', 'carry', 'stop', 'bear'}",3,10,cuii:0:centre:1:coordination:0:polyhedron,different:1:tcnoet:0:ligand:2:n:0:atom,,1
10.1107/S2053229613032804,The resulting coordination polymer takes the form of sheets which are linked in pairs by a single C mdash H,coordination polymer,takes,form of sheets,take,"{'lead', 'assume', 'read', 'bring', 'postulate', 'occupy', 'guide', 'need', 'take', 'direct', 'adopt', 'involve', 'necessitate', 'acquire', 'convey', 'ask', 'demand', 'conduct', 'require'}",1,11,coordination:0:polymer,sheet:0:form,,2
10.1107/S2053229613032804,The resulting coordination polymer takes the form of sheets which are linked in pairs by a single C mdash H,resulting coordination polymer,takes,form of sheets,take,"{'lead', 'assume', 'read', 'bring', 'postulate', 'occupy', 'guide', 'need', 'take', 'direct', 'adopt', 'involve', 'necessitate', 'acquire', 'convey', 'ask', 'demand', 'conduct', 'require'}",2,11,result:1:coordination:0:polymer,sheet:0:form,,2
10.1107/S205322961402172X,Three of the five unique Br atoms and one of the three CuI atoms occupy special positions with halfoccupancy a mirror plane perpendicular to the b axis site symmetry m,CuI atoms,occupy,special positions,occupy,"{'fill', 'engage', 'take', 'interest', 'absorb', 'busy', 'reside', 'invade', 'inhabit', 'concern', 'engross', 'worry', 'occupy'}",1,8,cui:0:atom,special:0:position,,1
10.1107/S205322961402172X,The CuI ions are in a distorted tetrahedral coordination environment with four Br atoms at distances ranging from 23667 emsp14 10 to 26197 emsp14 13 emsp14  Aring  and an outlier at 30283 emsp14 12 emsp14  Aring  exceptionally elongated and with a small contribution to the bondvalence sum of only 67,CuI ions,are in,coordination environment,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,32,cui:0:ion,coordination:0:environment,,5
10.1107/S205322961402172X,The CuI ions are in a distorted tetrahedral coordination environment with four Br atoms at distances ranging from 23667 emsp14 10 to 26197 emsp14 13 emsp14  Aring  and an outlier at 30283 emsp14 12 emsp14  Aring  exceptionally elongated and with a small contribution to the bondvalence sum of only 67,CuI ions,are in,tetrahedral coordination environment,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,20,cui:0:ion,tetrahedral:1:coordination:0:environment,,4
10.1107/S205322961402172X,The CuI ions are in a distorted tetrahedral coordination environment with four Br atoms at distances ranging from 23667 emsp14 10 to 26197 emsp14 13 emsp14  Aring  and an outlier at 30283 emsp14 12 emsp14  Aring  exceptionally elongated and with a small contribution to the bondvalence sum of only 67,CuI ions,are in,distorted tetrahedral coordination environment,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",3,10,cui:0:ion,distort:2:tetrahedral:1:coordination:0:environment,,3
10.1107/S0108767302005287,Only the Si framework is considered and the transformation can be described as a deformation of a homogeneous sphere packing with three contacts per sphere type 310h1 in the common subgroup P6122 of P6422 and P63mmc,Si framework,considered,sphere packing,consider,"{'think', 'deal', 'deliberate', 'moot', 'believe', 'weigh', 'reckon', 'debate', 'study', 'view', 'conceive', 'regard', 'count', 'consider', 'see'}",1,89,si:0:framework,sphere:0:pack,is,14
10.1107/S0108767302005287,Only the Si framework is considered and the transformation can be described as a deformation of a homogeneous sphere packing with three contacts per sphere type 310h1 in the common subgroup P6122 of P6422 and P63mmc,Si framework,described as,sphere packing,describe,"{'draw', 'line', 'key', 'name', 'identify', 'depict', 'discover', 'report', 'describe', 'account', 'trace', 'delineate', 'distinguish'}",1,89,si:0:framework,sphere:0:pack,be,14
10.1107/S0108767302005287,Only the Si framework is considered and the transformation can be described as a deformation of a homogeneous sphere packing with three contacts per sphere type 310h1 in the common subgroup P6122 of P6422 and P63mmc,Only the Si framework,considered,homogeneous sphere packing,consider,"{'think', 'deal', 'deliberate', 'moot', 'believe', 'weigh', 'reckon', 'debate', 'study', 'view', 'conceive', 'regard', 'count', 'consider', 'see'}",2,77,only:1:si:0:framework,homogeneous:1:sphere:0:pack,is,13
10.1107/S0108767302005287,Only the Si framework is considered and the transformation can be described as a deformation of a homogeneous sphere packing with three contacts per sphere type 310h1 in the common subgroup P6122 of P6422 and P63mmc,Only the Si framework,described as,homogeneous sphere packing,describe,"{'draw', 'line', 'key', 'name', 'identify', 'depict', 'discover', 'report', 'describe', 'account', 'trace', 'delineate', 'distinguish'}",2,77,only:1:si:0:framework,homogeneous:1:sphere:0:pack,be,13
10.1107/S0108767302005287,The proposed model guarantees the threedimensional connection of the crystal structure during the whole transformation process,proposed model,guarantees,crystal structure,guarantee,"{'assure', 'ensure', 'undertake', 'insure', 'warrant', 'vouch', 'secure', 'guarantee'}",1,51,propose:0:model,crystal:0:structure,,6
10.1107/S2053229614022165,Gly is glycine and OtBu indicates the tertbutyl ester C26H40N4O7 is partly hydrated 0075H2O and has two different conformations which together constitute the asymmetric unit,glycine and OtBu,has,different conformations,have,"{'hold', 'experience', 'consume', 'get', 'ingest', 'possess', 'let', 'receive', 'own', 'feature', 'undergo', 'give', 'have'}",1,81,otbu:0:glycine,different:0:conformation,,12
10.1107/S2053229614022165,Gly is glycine and OtBu indicates the tertbutyl ester C26H40N4O7 is partly hydrated 0075H2O and has two different conformations which together constitute the asymmetric unit,glycine and OtBu,has,two different conformations which together constitute the asymmetric unit,have,"{'hold', 'experience', 'consume', 'get', 'ingest', 'possess', 'let', 'receive', 'own', 'feature', 'undergo', 'give', 'have'}",3,77,otbu:0:glycine,asymmetric:0:unit:1:constitute:2:different:0:conformation,,11
10.1107/S0567739480001817,Recent experiments using synchrotron radiation to measure anomalous scattering terms at wavelengths very close to Lshell elemental absorption edges Phillips Templeton Templeton  amp  Hodgson 1978,Recent experiments,using,synchrotron radiation,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,7,recent:0:experiment,synchrotron:0:radiation,,1
10.1107/S0567739480001817,These observations of the large wavelength dependence of the magnitudes of anomalous scattering terms has prompted our reexamination of how such effects can be used to phase singlecrystal diffraction patterns,wavelength dependence,prompted,diffraction patterns,prompt,"{'prompt', 'instigate', 'motivate', 'inspire', 'cue', 'remind', 'incite', 'actuate', 'propel'}",1,135,wavelength:0:dependence,diffraction:0:pattern,has,21
10.1107/S0567739480001817,These observations of the large wavelength dependence of the magnitudes of anomalous scattering terms has prompted our reexamination of how such effects can be used to phase singlecrystal diffraction patterns,wavelength dependence,used to,diffraction patterns,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,135,wavelength:0:dependence,diffraction:0:pattern,be,21
10.1107/S0567739480001817,These observations of the large wavelength dependence of the magnitudes of anomalous scattering terms has prompted our reexamination of how such effects can be used to phase singlecrystal diffraction patterns,large wavelength dependence,prompted,diffraction patterns,prompt,"{'prompt', 'instigate', 'motivate', 'inspire', 'cue', 'remind', 'incite', 'actuate', 'propel'}",2,135,large:1:wavelength:0:dependence,diffraction:0:pattern,has,21
10.1107/S0567739480001817,These observations of the large wavelength dependence of the magnitudes of anomalous scattering terms has prompted our reexamination of how such effects can be used to phase singlecrystal diffraction patterns,large wavelength dependence,used to,diffraction patterns,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,135,large:1:wavelength:0:dependence,diffraction:0:pattern,be,21
10.1107/S0567739480001817,A numerical example of phasing using the anomalous scattering curves determined experimentally for cesium is presented and the results discussed in terms of the applicability of multiplewavelength  phasing  for  protein  crystallographic studies,numerical example,using,scattering curves,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",1,32,numerical:0:example,scatter:0:curve,,5
10.1107/S0567739480001817,A numerical example of phasing using the anomalous scattering curves determined experimentally for cesium is presented and the results discussed in terms of the applicability of multiplewavelength  phasing  for  protein  crystallographic studies,scattering curves,determined,crystallographic studies,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",1,153,scatter:0:curve,crystallographic:0:study,,20
10.1107/S0567739480001817,A numerical example of phasing using the anomalous scattering curves determined experimentally for cesium is presented and the results discussed in terms of the applicability of multiplewavelength  phasing  for  protein  crystallographic studies,scattering curves,presented,crystallographic studies,present,"{'submit', 'stage', 'exhibit', 'pose', 'deliver', 'award', 'present', 'give', 'demo', 'show', 'introduce', 'gift', 'demonstrate', 'acquaint'}",1,153,scatter:0:curve,crystallographic:0:study,is,20
10.1107/S0567739480001817,A numerical example of phasing using the anomalous scattering curves determined experimentally for cesium is presented and the results discussed in terms of the applicability of multiplewavelength  phasing  for  protein  crystallographic studies,numerical example of phasing,using,anomalous scattering curves,use,"{'practice', 'expend', 'utilize', 'habituate', 'use', 'employ', 'apply', 'utilise'}",2,11,phase:1:numerical:0:example,anomalous:1:scatter:0:curve,,2
10.1107/S0567739480001817,A numerical example of phasing using the anomalous scattering curves determined experimentally for cesium is presented and the results discussed in terms of the applicability of multiplewavelength  phasing  for  protein  crystallographic studies,anomalous scattering curves,determined,protein  crystallographic studies,determine,"{'regulate', 'influence', 'find', 'decide', 'settle', 'learn', 'watch', 'fix', 'ascertain', 'limit', 'specify', 'see', 'set', 'mold', 'determine', 'shape'}",2,144,anomalous:1:scatter:0:curve,protein:1:crystallographic:0:study,,19
10.1107/S0567739480001817,A numerical example of phasing using the anomalous scattering curves determined experimentally for cesium is presented and the results discussed in terms of the applicability of multiplewavelength  phasing  for  protein  crystallographic studies,anomalous scattering curves,presented,protein  crystallographic studies,present,"{'submit', 'stage', 'exhibit', 'pose', 'deliver', 'award', 'present', 'give', 'demo', 'show', 'introduce', 'gift', 'demonstrate', 'acquaint'}",2,144,anomalous:1:scatter:0:curve,protein:1:crystallographic:0:study,is,19
10.1107/S0567739480001817,A survey of a variety of heavy metals suggests that large changes in anomalous scattering near the L absorption edges are quite general and will be of importance in multiplewavelength phasing of singlecrystal protein diffraction patterns,heavy metals,suggests,large changes,suggest,"{'propose', 'advise', 'evoke', 'intimate', 'hint', 'indicate', 'suggest'}",1,15,heavy:0:metal,large:0:change,,2
10.1107/S0567739480001817,A survey of a variety of heavy metals suggests that large changes in anomalous scattering near the L absorption edges are quite general and will be of importance in multiplewavelength phasing of singlecrystal protein diffraction patterns,absorption edges,be of,protein diffraction,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",1,92,absorption:0:edge,protein:0:diffraction,,13
10.1107/S0567739480001817,A survey of a variety of heavy metals suggests that large changes in anomalous scattering near the L absorption edges are quite general and will be of importance in multiplewavelength phasing of singlecrystal protein diffraction patterns,variety of heavy metals,suggests,large changes,suggest,"{'propose', 'advise', 'evoke', 'intimate', 'hint', 'indicate', 'suggest'}",2,15,heavy:0:metal:1:variety,large:0:change,,2
10.1107/S0567739480001817,A survey of a variety of heavy metals suggests that large changes in anomalous scattering near the L absorption edges are quite general and will be of importance in multiplewavelength phasing of singlecrystal protein diffraction patterns,L absorption edges,be of,protein diffraction patterns,be,"{'equal', 'be', 'constitute', 'comprise', 'exist', 'embody', 'represent', 'personify'}",2,92,l:1:absorption:0:edge,protein:0:diffraction:1:pattern,,13
10.1107/S0567739480001817,A survey of a variety of heavy metals suggests that large changes in anomalous scattering near the L absorption edges are quite general and will be of importance in multiplewavelength phasing of singlecrystal protein diffraction patterns,survey of a variety of heavy metals,suggests,large changes,suggest,"{'propose', 'advise', 'evoke', 'intimate', 'hint', 'indicate', 'suggest'}",3,15,heavy:0:metal:1:variety:2:survey,large:0:change,,2
10.1107/S0567739480001830,The Fielek model is made simple and more effective by modifying it for a purely central and shortrange ionic interactions b angular interactions coupling the nearby d shells c easily computable volume interactions and d for crystal equilibrium in complicated fcc lattices,Fielek model,made,ionic interactions,make,"{'produce', 'draw', 'make', 'stimulate', 'create', 'cause', 'do', 'induce'}",1,87,fielek:0:model,ionic:0:interaction,is,15
10.1107/S0567739480001830,The Fielek model is made simple and more effective by modifying it for a purely central and shortrange ionic interactions b angular interactions coupling the nearby d shells c easily computable volume interactions and d for crystal equilibrium in complicated fcc lattices,Fielek model,modifying,ionic interactions,modify,"{'change', 'qualify', 'modify', 'alter'}",1,87,fielek:0:model,ionic:0:interaction,,15
10.1107/S0567739480001830,The model involving a minimum number of input data is tested for its validity in predicting the dispersion relations in platinum,input data,tested for,dispersion relations,test,"{'prove', 'try', 'essay', 'examine', 'test', 'screen', 'quiz'}",1,46,input:0:datum,dispersion:0:relation,is,8
