subject,object,predicate,sentence,pred freq,sub freq,obj freq,distance,root,root freq,synonyms,sub term,obj term,level,doc ID
In atom,Cl ligand,is coordinated by,In the title compound InWC5H5CO32C5H5NCl the In atom is coordinated by two CpCO3W fragments a Cl ligand and a pyridine molecule in a distorted tetrahedral environment,43,1,1,42,coordinate,62,"{'coordinate', 'organise', 'organize', 'align', 'ordinate'}",in:0:atom,cl:0:ligand,1,10.1107/S1600536805011992
NiII ion,octahedral coordination,has,In the title mononuclear Niphen3sq middot 8H2O complex phen is 110phenanthroline C12H8N2 and sq is squarate C4O42 minus  the NiII ion has a distorted octahedral coordination geometry composed of six N atoms from three bidentate chelating phen ligands,96,1,9,17,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",niii:0:ion,octahedral:0:coordination,1,10.1107/S1600536805012055
title compound,mdash H,features,The title compound C14H13ClN2O3S features an intramolecular O mdash H,18,195,121,44,feature,19,"{'sport', 'feature', 'boast', 'have'}",title:0:compound,mdash:0:h,1,10.1107/S1600536808038695
close contacts,neighbouring molecules,link,O close contacts link neighbouring molecules forming R2213 ring motifs,35,1,1,6,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",close:0:contact,neighbour:0:molecule,1,10.1107/S1600536808038695
neighbouring molecules,ring motifs,forming,O close contacts link neighbouring molecules forming R2213 ring motifs,20,2,1,15,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",neighbour:0:molecule,motif:0:ring,1,10.1107/S1600536808038695
discrete dimers,supramolecular network,are connected by,These discrete dimers are connected by hydrogenbonding interactions into a threedimensional supramolecular network,8,1,4,71,connect,34,"{'relate', 'associate', 'colligate', 'join', 'unite', 'tie', 'link', 'connect'}",discrete:0:dimer,supramolecular:0:network,1,10.1107/S1600536805012663
crystal structure,mdash H,are linked by,In the crystal structure molecules are linked by N mdash H,30,68,121,27,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",crystal:0:structure,mdash:0:h,1,10.1107/S1600536808038610
title compound,tautomeric form,adopts,The title compound C15H12NO2F3 adopts the phenol ndash imine tautomeric form,30,195,2,43,adopt,39,"{'acquire', 'embrace', 'take', 'dramatise', 'dramatize', 'assume', 'borrow', 'follow', 'espouse', 'adopt'}",title:0:compound,tautomeric:0:form,1,10.1107/S1600536805010342
title compound,hydrothermal reaction,synthesized by,The title compound CoN33C16H14N4 was synthesized by hydrothermal reaction of CoNH36NO33 NaN3 and tris2pyridylmethylamine,5,195,2,34,synthesize,13,"{'synthesise', 'synthesize'}",title:0:compound,hydrothermal:0:reaction,1,10.1107/S1600536808035162
N hydrogen,amino group,are formed between,N hydrogen bonds are formed between the amino group and the uncoordinated terminal N atoms of the azide ligands,2,9,1,30,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",n:0:hydrogen,amino:0:group,1,10.1107/S1600536808035162
N hydrogen bonds,terminal N atoms,are formed between,N hydrogen bonds are formed between the amino group and the uncoordinated terminal N atoms of the azide ligands,2,8,1,58,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",n:0:hydrogen:1:bond,terminal:1:n:0:atom,2,10.1107/S1600536808035162
title compound,inversion centre,is generated by,The complete molecule of the title compound C30H20N2Se2 is generated by a crystallographic inversion centre at the midpoint of the Se mdash Se bond,8,195,10,48,generate,29,"{'yield', 'engender', 'sire', 'generate', 'beget', 'mother', 'render', 'father'}",title:0:compound,inversion:0:centre,1,10.1107/S160053680803609X
pi  ndash  ,perpendicular distance,stacking,The herringbonelike packing of the structure is supported by intermolecular  pi  ndash  pi  stacking interactions with a shortest perpendicular distance between isoquinoline groups of 3514 emsp14  Aring  the slippage between these ring systems is 0972 emsp14  Aring  and the distance between the centroids of the sixmembered carbon rings is 3645 emsp14 3 emsp14  Aring ,6,3,1,42,stack,10,"{'pile', 'heap', 'stack'}",pi:0:ndash,perpendicular:0:distance,1,10.1107/S160053680803609X
intermolecular  pi  ndash  ,shortest perpendicular distance,stacking,The herringbonelike packing of the structure is supported by intermolecular  pi  ndash  pi  stacking interactions with a shortest perpendicular distance between isoquinoline groups of 3514 emsp14  Aring  the slippage between these ring systems is 0972 emsp14  Aring  and the distance between the centroids of the sixmembered carbon rings is 3645 emsp14 3 emsp14  Aring ,6,1,1,33,stack,10,"{'pile', 'heap', 'stack'}",intermolecular:1:pi:0:ndash,short:1:perpendicular:0:distance,2,10.1107/S160053680803609X
benzene ring,dihedral angles,makes,The benzene ring of the anion makes dihedral angles of 8200 emsp14 8 and 7496 emsp14 8 deg  with the mean planes through the benzene ring of the cation and the pyridinium ring respectively,20,4,13,20,make,60,"{'make', 'produce', 'induce', 'draw', 'stimulate', 'do', 'create', 'cause'}",benzene:0:ring,dihedral:0:angle,1,10.1107/S1600536805011086
cations and anions,ac plane,are packed as,In the solid state the cations and anions are packed as alternate layers parallel to the ac plane,1,8,5,48,pack,1,"{'jam', 'pile', 'backpack', 'throng', 'pack', 'carry', 'bundle', 'wad', 'mob', 'compact', 'tamp'}",anion:0:cation,ac:0:plane,1,10.1107/S1600536805011086
Hg atom,I atoms,is coordinated by,In the title complex HgI2C17H13N5O2 middot C3H7NOn the Hg atom is coordinated by two I atoms and two N atoms from two different ligands in a distorted tetrahedral environment,43,1,1,23,coordinate,62,"{'coordinate', 'organise', 'organize', 'align', 'ordinate'}",hg:0:atom,-PRON-:0:atom,1,10.1107/S1600536808036581
title compound,reaction of isonicotinohydrazide and,prepared by,The title compound C13H10BrN3O was prepared by the reaction of isonicotinohydrazide and 4bromobenzaldehyde,1,195,1,33,prepare,7,"{'train', 'cook', 'devise', 'set', 'educate', 'prepare', 'develop', 'machinate', 'organise', 'organize', 'groom', 'ready', 'fix'}",title:0:compound,isonicotinohydrazide:0:reaction,1,10.1107/S1600536808036271
crystal packing,C mdash,is stabilized by,The crystal packing is stabilized by intermolecular C mdash H,58,36,35,33,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",crystal:0:pack,c:0:mdash,1,10.1107/S1600536808036271
morpholino ring,chair conformation,displays,In the title compound C18H25NO4 the benzofuran ring is almost planar and the morpholino ring displays a chair conformation,10,1,13,12,display,13,"{'display', 'reveal', 'show', 'expose', 'exhibit'}",morpholino:0:ring,chair:0:conformation,1,10.1107/S1600536808034065
packing of compound,mdash H,has,The packing of compound has a onedimensional structure constructed through intermolecular O mdash H,96,1,121,69,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",compound:0:pack,mdash:0:h,1,10.1107/S1600536808034065
title compound,benzene rings,contains,The title compound C22H14N2O3 contains three benzene rings pairs of which form dihedral angles of 5537 emsp14 5 6847 emsp14 4 and 8282 emsp14 4 deg ,62,195,1,27,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",title:0:compound,benzene:0:ring,1,10.1107/S1600536805011918
cations and anions,mdash H,are linked through,In the crystal structure the cations and anions are linked through N mdash H,6,8,121,22,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",anion:0:cation,mdash:0:h,1,10.1107/S1600536808036301
coordination geometry,title compound,is found in,A nearly linear coordination geometry for Au is found in the title compound AuC9H9N2O3SC21H21P,1,2,4,24,found,30,"{'plant', 'base', 'establish', 'constitute', 'institute', 'found', 'launch'}",coordination:0:geometry,title:0:compound,1,10.1107/S1600536808038257
thiocarbamate ligand,aryl group,is orientated,The thiocarbamate ligand is orientated so that the aryl group is in close proximity to the Au atom consistent with an Au pi  contact ,1,1,1,27,orientate,2,"{'orientate', 'orient'}",thiocarbamate:0:ligand,aryl:0:group,1,10.1107/S1600536808038257
sample environment,large range,be varied over,The sample environment can be varied over a large range of temperatures and pressures for USANS measurements and a polarized USANS option is available,1,1,1,22,vary,2,"{'variegate', 'depart', 'change', 'alter', 'deviate', 'vary', 'diverge', 'motley'}",sample:0:environment,large:0:range,1,10.1107/S0021889806050813
SAXS patterns,special consideration,analyzed with,Twodimensional SAXS patterns were quantitatively analyzed with special consideration for preferred orientation effects leading to new insights into the threedimensional superstructure of mineralized collagen fibrils in shadherring bone,1,1,1,35,analyze,5,"{'dissect', 'canvas', 'examine', 'analyse', 'psychoanalyze', 'analyze', 'canvass', 'psychoanalyse', 'study'}",saxs:0:pattern,special:0:consideration,1,10.1107/S0021889806054409
orientation effects,new insights,leading to,Twodimensional SAXS patterns were quantitatively analyzed with special consideration for preferred orientation effects leading to new insights into the threedimensional superstructure of mineralized collagen fibrils in shadherring bone,7,1,2,12,lead,28,"{'contribute', 'head', 'conduce', 'take', 'go', 'run', 'leave', 'top', 'extend', 'pass', 'guide', 'result', 'lead', 'direct', 'conduct'}",orientation:0:effect,new:0:insight,1,10.1107/S0021889806054409
hydropyrimidine ring,sofa conformation,adopts,In the title compound C15H18N2O3S the hydropyrimidine ring adopts a sofa conformation with the methine C atom as the flap,30,1,3,10,adopt,39,"{'acquire', 'embrace', 'take', 'dramatise', 'dramatize', 'assume', 'borrow', 'follow', 'espouse', 'adopt'}",hydropyrimidine:0:ring,sofa:0:conformation,1,10.1107/S2056989015010026
S interactions,zigzag chain,form,S interactions form a zigzag chain running along the baxis direction,20,2,4,8,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",s:0:interaction,zigzag:0:chain,1,10.1107/S2056989015010026
title compound,asymmetric unit,crystallizes with,The title compound C13H13NO4 also known as Nbenzyloxycarbonyl4hydroxyLproline lactone crystallizes with two molecules in the asymmetric unit,13,195,15,107,crystallize,33,"{'crystallize', 'crystallise', 'enlighten', 'effloresce', 'illuminate', 'crystalise', 'elucidate'}",title:0:compound,asymmetric:0:unit,1,10.1107/S2056989015010464
ring systems,C mdash,overlap but,They have slightly different conformations the fused ring systems almost overlap but different C mdash O mdash C mdash C torsion angles for the central chains of  minus 1555 emsp14 2 and  minus 1786 emsp14 2 deg  lead to different twists for the terminal benzene ring,2,2,35,30,overlap,2,{'overlap'},ring:0:system,c:0:mdash,1,10.1107/S2056989015010464
fused ring systems,different C mdash,overlap but,They have slightly different conformations the fused ring systems almost overlap but different C mdash O mdash C mdash C torsion angles for the central chains of  minus 1555 emsp14 2 and  minus 1786 emsp14 2 deg  lead to different twists for the terminal benzene ring,2,1,1,20,overlap,2,{'overlap'},fuse:1:ring:0:system,different:1:c:0:mdash,2,10.1107/S2056989015010464
absolute structure,chiral centre,established,The absolute structure was established based on an unchanging chiral centre in the synthesis,3,4,2,40,establish,5,"{'prove', 'show', 'install', 'plant', 'base', 'establish', 'build', 'constitute', 'shew', 'demonstrate', 'institute', 'found', 'launch'}",absolute:0:structure,chiral:0:centre,1,10.1107/S2056989015010464
absolute structure,chiral centre,based on,The absolute structure was established based on an unchanging chiral centre in the synthesis,14,4,2,40,base,19,"{'station', 'send', 'base', 'establish', 'post', 'found'}",absolute:0:structure,chiral:0:centre,1,10.1107/S2056989015010464
completely abrogate transport,primary function of Wind,to be,Although the mutants Y53S and Y55K completely abrogate transport of the protein Pipe which appears to be the primary function of Wind in the cell only subtle differences can be seen in the putative Pipebinding region,22,2,2,45,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",completely:0:abrogate:1:transport,wind:1:primary:0:function,2,10.1107/S0907444906010456
completely abrogate transport,primary function of Wind,to be,Although the mutants Y53S and Y55K completely abrogate transport of the protein Pipe which appears to be the primary function of Wind in the cell only subtle differences can be seen in the putative Pipebinding region,22,2,2,45,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",completely:0:abrogate:1:transport,wind:1:primary:0:function,2,10.1107/S0907444906010456
active forms,hydrophobic interactions,appears to,The Pipe binding in the active forms appears to involve hydrophobic interactions between aromatic systems whereas the inactive mutants may be able to bind more strongly with the help of hydrogen bonds which could disturb the delicate equilibrium required for effective Pipe transport,5,2,2,20,appear,11,"{'appear', 'look', 'seem'}",active:0:form,hydrophobic:0:interaction,1,10.1107/S0907444906010456
active forms,hydrophobic interactions,to involve,The Pipe binding in the active forms appears to involve hydrophobic interactions between aromatic systems whereas the inactive mutants may be able to bind more strongly with the help of hydrogen bonds which could disturb the delicate equilibrium required for effective Pipe transport,1,2,2,20,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",active:0:form,hydrophobic:0:interaction,1,10.1107/S0907444906010456
inactive mutants,hydrogen bonds,to bind,The Pipe binding in the active forms appears to involve hydrophobic interactions between aromatic systems whereas the inactive mutants may be able to bind more strongly with the help of hydrogen bonds which could disturb the delicate equilibrium required for effective Pipe transport,2,1,18,52,bind,6,"{'bind', 'truss', 'adhere', 'bandage', 'tie', 'stick', 'attach', 'oblige', 'obligate', 'bond'}",inactive:0:mutant,hydrogen:0:bond,1,10.1107/S0907444906010456
hydrophobic interactions between aromatic systems,effective Pipe transport,to bind,The Pipe binding in the active forms appears to involve hydrophobic interactions between aromatic systems whereas the inactive mutants may be able to bind more strongly with the help of hydrogen bonds which could disturb the delicate equilibrium required for effective Pipe transport,2,1,1,154,bind,6,"{'bind', 'truss', 'adhere', 'bandage', 'tie', 'stick', 'attach', 'oblige', 'obligate', 'bond'}",aromatic:0:system:1:hydrophobic:0:interaction,effective:1:pipe:0:transport,2,10.1107/S0907444906010456
title compound,independent molecules,contains,The asymmetric unit of the title compound C14H24N2O5S contains two independent molecules A and B,62,195,17,26,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",title:0:compound,independent:0:molecule,1,10.1107/S2056989015010051
absolute structure,resonant scattering,determined by,The absolute structure was determined by resonant scattering Flack parameter  000 emsp14 3,8,4,1,19,determine,65,"{'limit', 'settle', 'ascertain', 'determine', 'find', 'set', 'see', 'specify', 'regulate', 'watch', 'mold', 'learn', 'fix', 'shape', 'influence', 'decide'}",absolute:0:structure,resonant:0:scatter,1,10.1107/S2056989015010051
title compound,stacking interactions,are involved in,Carbazolyl fragments of the title compound C42H30N2 are involved in intramolecular stacking interactions between each other and intermolecular C mdash H,15,195,1,41,involve,42,"{'demand', 'take', 'imply', 'need', 'postulate', 'regard', 'ask', 'require', 'affect', 'involve', 'necessitate'}",title:0:compound,stack:0:interaction,1,10.1107/S1600536804001813
polygalacturonase A,vapor diffusion,have been,Crystals of the pectolytic protein polygalacturonase A have been obtained from polyethylene glycol 8000 emsp14 using vapor diffusion methods,55,3,3,63,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",polygalacturonase:0:a,vapor:0:diffusion,1,10.1107/S0907444995006445
polygalacturonase A,vapor diffusion,obtained from,Crystals of the pectolytic protein polygalacturonase A have been obtained from polyethylene glycol 8000 emsp14 using vapor diffusion methods,9,3,3,63,obtain,42,"{'receive', 'get', 'obtain', 'incur', 'prevail'}",polygalacturonase:0:a,vapor:0:diffusion,1,10.1107/S0907444995006445
polygalacturonase A,vapor diffusion,using,Crystals of the pectolytic protein polygalacturonase A have been obtained from polyethylene glycol 8000 emsp14 using vapor diffusion methods,109,3,3,63,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",polygalacturonase:0:a,vapor:0:diffusion,1,10.1107/S0907444995006445
Crystals of the pectolytic protein,vapor diffusion methods,have been,Crystals of the pectolytic protein polygalacturonase A have been obtained from polyethylene glycol 8000 emsp14 using vapor diffusion methods,55,3,3,83,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",pectolytic:0:protein:1:crystal,vapor:0:diffusion:1:method,2,10.1107/S0907444995006445
Crystals of the pectolytic protein,vapor diffusion methods,obtained from,Crystals of the pectolytic protein polygalacturonase A have been obtained from polyethylene glycol 8000 emsp14 using vapor diffusion methods,9,3,3,83,obtain,42,"{'receive', 'get', 'obtain', 'incur', 'prevail'}",pectolytic:0:protein:1:crystal,vapor:0:diffusion:1:method,2,10.1107/S0907444995006445
Crystals of the pectolytic protein,vapor diffusion methods,using,Crystals of the pectolytic protein polygalacturonase A have been obtained from polyethylene glycol 8000 emsp14 using vapor diffusion methods,109,3,3,83,use,179,"{'utilize', 'expend', 'use', 'apply', 'utilise', 'habituate', 'practice', 'employ'}",pectolytic:0:protein:1:crystal,vapor:0:diffusion:1:method,2,10.1107/S0907444995006445
Human immunodeficiency,antiviral functions,has,CTBMPR is a fusion protein between the B subunit of cholera toxin CTB and the membraneproximal region of gp41 MPR the transmembrane envelope protein of Human immunodeficiency virus 1 HIV1 and has previously been shown to induce the production of antiHIV1 antibodies with antiviral functions,96,4,4,97,have,105,"{'feature', 'give', 'let', 'get', 'receive', 'experience', 'possess', 'ingest', 'own', 'have', 'undergo', 'consume', 'hold'}",human:0:immunodeficiency,antiviral:0:function,1,10.1107/S2052252514014900
Human immunodeficiency,antiviral functions,been,CTBMPR is a fusion protein between the B subunit of cholera toxin CTB and the membraneproximal region of gp41 MPR the transmembrane envelope protein of Human immunodeficiency virus 1 HIV1 and has previously been shown to induce the production of antiHIV1 antibodies with antiviral functions,6,4,4,97,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",human:0:immunodeficiency,antiviral:0:function,1,10.1107/S2052252514014900
Human immunodeficiency,antiviral functions,shown to,CTBMPR is a fusion protein between the B subunit of cholera toxin CTB and the membraneproximal region of gp41 MPR the transmembrane envelope protein of Human immunodeficiency virus 1 HIV1 and has previously been shown to induce the production of antiHIV1 antibodies with antiviral functions,3,4,4,97,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",human:0:immunodeficiency,antiviral:0:function,1,10.1107/S2052252514014900
Human immunodeficiency,antiviral functions,to induce,CTBMPR is a fusion protein between the B subunit of cholera toxin CTB and the membraneproximal region of gp41 MPR the transmembrane envelope protein of Human immunodeficiency virus 1 HIV1 and has previously been shown to induce the production of antiHIV1 antibodies with antiviral functions,2,4,4,97,induce,9,"{'rush', 'make', 'induce', 'hasten', 'stimulate', 'induct', 'cause'}",human:0:immunodeficiency,antiviral:0:function,1,10.1107/S2052252514014900
Several variants,Escherichia coli,were designed,Several variants of CTBMPR were designed constructed and recombinantly expressed in Escherichia coli,1,3,6,68,design,4,"{'contrive', 'project', 'design', 'plan'}",several:0:variant,escherichia:0:coli,1,10.1107/S2052252514014900
Several variants,Escherichia coli,constructed,Several variants of CTBMPR were designed constructed and recombinantly expressed in Escherichia coli,1,3,6,68,construct,5,"{'manufacture', 'construct', 'fabricate', 'retrace', 'reconstruct', 'build'}",several:0:variant,escherichia:0:coli,1,10.1107/S2052252514014900
Several variants,Escherichia coli,expressed in,Several variants of CTBMPR were designed constructed and recombinantly expressed in Escherichia coli,3,3,6,68,express,6,"{'utter', 'evince', 'show', 'verbalize', 'verbalise', 'state', 'carry', 'convey', 'express', 'extract'}",several:0:variant,escherichia:0:coli,1,10.1107/S2052252514014900
first variant,flexible GPGP linker,contained,The first variant contained a flexible GPGP linker between CTB and MPR and yielded crystals that diffracted to a resolution of 23 emsp14  Aring  but only the CTB region was detected in the electrondensity map,4,1,1,13,contain,80,"{'hold', 'arrest', 'control', 'moderate', 'incorporate', 'carry', 'check', 'bear', 'curb', 'stop', 'comprise', 'contain'}",1:0:variant,flexible:1:gpgp:0:linker,2,10.1107/S2052252514014900
polyalanine linker,pentameric form,proved to,A third construct containing a polyalanine linker between CTB and MPR proved to stabilize the pentameric form of the protein during purification,2,2,2,45,prove,2,"{'prove', 'show', 'establish', 'examine', 'shew', 'evidence', 'testify', 'demonstrate', 'essay', 'test', 'leaven', 'try'}",polyalanine:0:linker,pentameric:0:form,1,10.1107/S2052252514014900
polyalanine linker,pentameric form,to stabilize,A third construct containing a polyalanine linker between CTB and MPR proved to stabilize the pentameric form of the protein during purification,5,2,2,45,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",polyalanine:0:linker,pentameric:0:form,1,10.1107/S2052252514014900
polyalanine linker between CTB and MPR,pentameric form of the protein,proved to,A third construct containing a polyalanine linker between CTB and MPR proved to stabilize the pentameric form of the protein during purification,2,2,2,25,prove,2,"{'prove', 'show', 'establish', 'examine', 'shew', 'evidence', 'testify', 'demonstrate', 'essay', 'test', 'leaven', 'try'}",mpr:0:ctb:1:polyalanine:0:linker,protein:1:pentameric:0:form,2,10.1107/S2052252514014900
polyalanine linker between CTB and MPR,pentameric form of the protein,to stabilize,A third construct containing a polyalanine linker between CTB and MPR proved to stabilize the pentameric form of the protein during purification,5,2,2,25,stabilize,81,"{'stabilize', 'steady', 'stabilise', 'brace'}",mpr:0:ctb:1:polyalanine:0:linker,protein:1:pentameric:0:form,2,10.1107/S2052252514014900
purification procedure,sample for crystallization,shown to,The purification procedure was shown to produce a homogeneously pure and monodisperse sample for crystallization,3,2,2,60,show,95,"{'indicate', 'display', 'show', 'shew', 'demonstrate', 'express', 'render', 'demo', 'testify', 'point', 'depict', 'prove', 'evidence', 'picture', 'present', 'exhibit', 'evince', 'reveal', 'establish'}",purification:0:procedure,crystallization:0:sample,1,10.1107/S2052252514014900
purification procedure,sample for crystallization,to produce,The purification procedure was shown to produce a homogeneously pure and monodisperse sample for crystallization,3,2,2,60,produce,14,"{'acquire', 'make', 'produce', 'raise', 'develop', 'farm', 'create', 'grow'}",purification:0:procedure,crystallization:0:sample,1,10.1107/S2052252514014900
inversion center,octahedral coordination,exhibits,In the title polymeric coordination compound CoC14H10NO42H2O2 middot 2H2On the CoII ion resides on an inversion center and exhibits a distorted octahedral coordination geometry defined by four O atoms from two pairs of equivalent monodentate carboxylate groups from 234carboxylatophenylpyridin1ium1ylacetate ligands and by two O atoms from two equivalent coordinating water molecules,20,8,9,26,exhibit,25,"{'display', 'march', 'demo', 'show', 'expose', 'parade', 'demonstrate', 'present', 'exhibit'}",inversion:0:center,octahedral:0:coordination,1,10.1107/S1600536813008933
polymeric coordination compound,octahedral coordination geometry,exhibits,In the title polymeric coordination compound CoC14H10NO42H2O2 middot 2H2On the CoII ion resides on an inversion center and exhibits a distorted octahedral coordination geometry defined by four O atoms from two pairs of equivalent monodentate carboxylate groups from 234carboxylatophenylpyridin1ium1ylacetate ligands and by two O atoms from two equivalent coordinating water molecules,20,1,2,100,exhibit,25,"{'display', 'march', 'demo', 'show', 'expose', 'parade', 'demonstrate', 'present', 'exhibit'}",polymeric:0:coordination:1:compound,octahedral:0:coordination:1:geometry,2,10.1107/S1600536813008933
title polymeric coordination compound,distorted octahedral coordination geometry,exhibits,In the title polymeric coordination compound CoC14H10NO42H2O2 middot 2H2On the CoII ion resides on an inversion center and exhibits a distorted octahedral coordination geometry defined by four O atoms from two pairs of equivalent monodentate carboxylate groups from 234carboxylatophenylpyridin1ium1ylacetate ligands and by two O atoms from two equivalent coordinating water molecules,20,1,1,90,exhibit,25,"{'display', 'march', 'demo', 'show', 'expose', 'parade', 'demonstrate', 'present', 'exhibit'}",title:2:polymeric:0:coordination:1:compound,distort:2:octahedral:0:coordination:1:geometry,3,10.1107/S1600536813008933
metal ions,double bridges,are linked by,The zwitterionic dicarboxylate ligands serve as bridges with two monodentate carboxylate and the metal ions are linked by double bridges forming polymeric chains running along 011,30,1,1,15,link,102,"{'relate', 'associate', 'colligate', 'yoke', 'join', 'unite', 'tie', 'link', 'connect'}",metal:0:ion,double:0:bridge,1,10.1107/S1600536813008933
double bridges,polymeric chains,forming,The zwitterionic dicarboxylate ligands serve as bridges with two monodentate carboxylate and the metal ions are linked by double bridges forming polymeric chains running along 011,20,1,5,9,form,90,"{'mould', 'forge', 'organise', 'organize', 'constitute', 'mold', 'imprint', 'spring', 'shape', 'form'}",double:0:bridge,polymeric:0:chain,1,10.1107/S1600536813008933
crystallographic technology,protein solution,has been,An emulsionbased serial crystallographic technology has been developed in which nanolitresized droplets of protein solution are encapsulated in oil and stabilized by surfactant,95,2,2,56,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",crystallographic:0:technology,protein:0:solution,1,10.1107/S2052252514016960
crystallographic technology,protein solution,developed in,An emulsionbased serial crystallographic technology has been developed in which nanolitresized droplets of protein solution are encapsulated in oil and stabilized by surfactant,1,2,2,56,develop,25,"{'train', 'acquire', 'explicate', 'produce', 'formulate', 'arise', 'rise', 'prepare', 'evolve', 'develop', 'originate', 'uprise', 'educate', 'grow', 'germinate'}",crystallographic:0:technology,protein:0:solution,1,10.1107/S2052252514016960
small volume,feedback mechanism,generates,Once the first crystal in a drop is nucleated the small volume generates a negative feedback mechanism that lowers the supersaturation,5,1,1,22,generate,29,"{'yield', 'engender', 'sire', 'generate', 'beget', 'mother', 'render', 'father'}",small:0:volume,feedback:0:mechanism,1,10.1107/S2052252514016960
first crystal,feedback mechanism that lowers the supersaturation,is nucleated,Once the first crystal in a drop is nucleated the small volume generates a negative feedback mechanism that lowers the supersaturation,1,4,2,62,nucleate,1,{'nucleate'},1:0:crystal,supersaturation:0:lower:1:feedback:0:mechanism,2,10.1107/S2052252514016960
first crystal,feedback mechanism that lowers the supersaturation,generates,Once the first crystal in a drop is nucleated the small volume generates a negative feedback mechanism that lowers the supersaturation,5,4,2,62,generate,29,"{'yield', 'engender', 'sire', 'generate', 'beget', 'mother', 'render', 'father'}",1:0:crystal,supersaturation:0:lower:1:feedback:0:mechanism,2,10.1107/S2052252514016960
Diffraction data,one crystal at a time,are measured,Diffraction data are measured one crystal at a time from a series of roomtemperature crystals stored on an Xray semitransparent microfluidic chip and a 93 complete data set is obtained by merging single diffraction frames taken from different unoriented crystals,2,5,1,14,measure,19,"{'measure', 'value', 'appraise', 'quantify', 'evaluate', 'valuate', 'assess'}",diffraction:0:datum,time:0:crystal,1,10.1107/S2052252514016960
complete data,single diffraction,is obtained by,Diffraction data are measured one crystal at a time from a series of roomtemperature crystals stored on an Xray semitransparent microfluidic chip and a 93 complete data set is obtained by merging single diffraction frames taken from different unoriented crystals,1,2,2,28,obtain,42,"{'receive', 'get', 'obtain', 'incur', 'prevail'}",complete:0:datum,single:0:diffraction,1,10.1107/S2052252514016960
complete data,single diffraction,by merging,Diffraction data are measured one crystal at a time from a series of roomtemperature crystals stored on an Xray semitransparent microfluidic chip and a 93 complete data set is obtained by merging single diffraction frames taken from different unoriented crystals,1,2,2,28,merge,1,"{'meld', 'flux', 'commingle', 'unify', 'unite', 'merge', 'immix', 'mix', 'coalesce', 'fuse', 'blend', 'combine', 'conflate'}",complete:0:datum,single:0:diffraction,1,10.1107/S2052252514016960
central Fe2S2 core,butterfly conformation,is in,The central Fe2S2 core is in a butterfly conformation and each FeI atom has a pseudosquarepyramidal coordination by three O atoms and two S atoms,41,1,1,9,be,307,"{'be', 'represent', 'equal', 'embody', 'constitute', 'personify', 'exist', 'comprise'}",central:0:core,butterfly:0:conformation,1,10.1107/S1600536813009860
