subject,object,predicate,sentence,pred freq,sub freq,obj freq,char dist,word dist,stem,stem freq,synonyms,pred term,sub term,obj term,level,doc ID,changes
Si2O7 pyrosilicate group,anisotropic displacement,shows,The bridging O atom of the Si2O7 pyrosilicate group shows a large anisotropic displacement perpendicular to the Si mdash O bond,49,2,1,15,3,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",shows,pyrosilicate:0:group,anisotropic:0:displacement,1,10.1107/S0108270103018869,
Si2O7 pyrosilicate group,large anisotropic displacement,shows,The bridging O atom of the Si2O7 pyrosilicate group shows a large anisotropic displacement perpendicular to the Si mdash O bond,49,2,1,9,2,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",shows,pyrosilicate:0:group,large:1:anisotropic:0:displacement,2,10.1107/S0108270103018869,
bridging O atom of the Si2O7 pyrosilicate group,large anisotropic displacement perpendicular,shows,The bridging O atom of the Si2O7 pyrosilicate group shows a large anisotropic displacement perpendicular to the Si mdash O bond,49,1,1,9,2,show,150,"{'demonstrate', 'evidence', 'point', 'present', 'establish', 'picture', 'indicate', 'reveal', 'display', 'show', 'shew', 'evince', 'depict', 'render', 'express', 'demo', 'prove', 'testify', 'exhibit'}",shows,pyrosilicate:0:group:2:bridge:1:o:0:atom,large:1:anisotropic:0:displacement:2:perpendicular,3,10.1107/S0108270103018869,
space group,structure model,but do,Structure solution and refinement in the noncentrosymmetric space group C2 are possible but do not yield a significantly different structure model,1,13,2,60,10,do,46,"{'suffice', 'fare', 'answer', 'behave', 'perform', 'make', 'practise', 'practice', 'execute', 'exercise', 'do', 'act', 'cause'}",but do,space:0:group,structure:0:model,1,10.1107/S0108270103018869,prefix: but
space group,structure model,yield,Structure solution and refinement in the noncentrosymmetric space group C2 are possible but do not yield a significantly different structure model,4,13,2,60,10,yield,25,"{'concede', 'succumb', 'grant', 'yield', 'soften', 'give', 'render', 'generate', 'cede', 'afford', 'relent'}",yield,space:0:group,structure:0:model,1,10.1107/S0108270103018869,
agonists and antagonists,weak agonist,being,Modifications of the piperidine Nsubstituent can produce both agonists and antagonists with the title compound being a weak agonist,21,1,1,33,6,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",being,antagonist:0:agonist,weak:0:agonist,1,10.1107/S1600536804008682,
proton transfer,acid group,occurs from,In the title compound 2C8H18NO3 middot 2C7H6NO2 minus  middot 3H2O proton transfer occurs from the carboxylic acid group of the 4aminobenzoic acid PABA molecule to the amine group of the macrocycle resulting in the formation of a saltlike adduct,3,3,1,28,4,occur,16,"{'happen', 'occur', 'pass', 'hap'}",occurs from,proton:0:transfer,acid:0:group,1,10.1107/S0108270105040667,postfix: from
proton transfer,carboxylic acid group,occurs from,In the title compound 2C8H18NO3 middot 2C7H6NO2 minus  middot 3H2O proton transfer occurs from the carboxylic acid group of the 4aminobenzoic acid PABA molecule to the amine group of the macrocycle resulting in the formation of a saltlike adduct,3,3,1,17,3,occur,16,"{'happen', 'occur', 'pass', 'hap'}",occurs from,proton:0:transfer,carboxylic:1:acid:0:group,2,10.1107/S0108270105040667,postfix: from
proton transfer,molecule to the amine group of the macrocycle,occurs from,In the title compound 2C8H18NO3 middot 2C7H6NO2 minus  middot 3H2O proton transfer occurs from the carboxylic acid group of the 4aminobenzoic acid PABA molecule to the amine group of the macrocycle resulting in the formation of a saltlike adduct,3,3,1,70,11,occur,16,"{'happen', 'occur', 'pass', 'hap'}",occurs from,proton:0:transfer,macrocycle:1:amine:0:group:2:molecule,3,10.1107/S0108270105040667,postfix: from
macrocyclic cations,bridging water molecules,are situated between,The macrocyclic cations are situated between these layers and are bound to the anions both directly and via bridging water molecules,1,2,3,85,15,situate,7,"{'locate', 'deposit', 'situate', 'posit'}",are:0:situated between,macrocyclic:0:cation,bridge:1:water:0:molecule,2,10.1107/S0108270105040667,"conjugated with: are, postfix: between"
macrocyclic cations,bridging water molecules,are bound to,The macrocyclic cations are situated between these layers and are bound to the anions both directly and via bridging water molecules,3,2,3,85,15,bound,9,"{'leap', 'limit', 'resile', 'throttle', 'jump', 'bound', 'trammel', 'border', 'spring', 'restrain', 'ricochet', 'rebound', 'confine', 'recoil', 'reverberate', 'bounce', 'restrict'}",are:0:bound to,macrocyclic:0:cation,bridge:1:water:0:molecule,2,10.1107/S0108270105040667,"conjugated with: are, postfix: to"
molecule and the packing,rotational symmetry,have approximate,In the monoclinic  delta  polymorph of Dmannitol C6H14O6 both the molecule and the packing have approximate twofold rotational symmetry,2,1,3,26,3,approximate,8,"{'guess', 'estimate', 'gauge', 'judge', 'approximate'}",have:0:approximate,pack:0:molecule,rotational:0:symmetry,1,10.1107/S0108270103018961,conjugated with: have
monoclinic  delta  polymorph,twofold rotational symmetry,have approximate,In the monoclinic  delta  polymorph of Dmannitol C6H14O6 both the molecule and the packing have approximate twofold rotational symmetry,2,1,3,73,11,approximate,8,"{'guess', 'estimate', 'gauge', 'judge', 'approximate'}",have:0:approximate,monoclinic:0:delta:1:polymorph,twofold:1:rotational:0:symmetry,2,10.1107/S0108270103018961,conjugated with: have
prime  polymorph,delta  polymorph,reported in,The P21 structure thus approximates space group C2221 and the  alpha  prime  polymorph previously reported in that space group is almost certainly identical to the  delta  polymorph,2,1,2,79,12,report,22,"{'cover', 'report', 'account', 'describe'}",reported in,prime:0:polymorph,delta:0:polymorph,1,10.1107/S0108270103018961,postfix: in
alpha  prime  polymorph,delta  polymorph,reported in,The P21 structure thus approximates space group C2221 and the  alpha  prime  polymorph previously reported in that space group is almost certainly identical to the  delta  polymorph,2,1,2,79,12,report,22,"{'cover', 'report', 'account', 'describe'}",reported in,alpha:1:prime:0:polymorph,delta:0:polymorph,2,10.1107/S0108270103018961,postfix: in
twofold symmetry,higher symmetry,does,However torsion angles along the main backbone of the molecule deviate from twofold symmetry by as much as 74 emsp14 3 deg  and the hydrogenbonding pattern does not conform to the higher symmetry,29,2,6,88,17,do,46,"{'suffice', 'fare', 'answer', 'behave', 'perform', 'make', 'practise', 'practice', 'execute', 'exercise', 'do', 'act', 'cause'}",does,twofold:0:symmetry,high:0:symmetry,1,10.1107/S0108270103018961,
twofold symmetry,higher symmetry,conform to,However torsion angles along the main backbone of the molecule deviate from twofold symmetry by as much as 74 emsp14 3 deg  and the hydrogenbonding pattern does not conform to the higher symmetry,3,2,6,88,17,conform,3,"{'conform', 'adjust', 'adapt'}",conform to,twofold:0:symmetry,high:0:symmetry,1,10.1107/S0108270103018961,postfix: to
molecule deviate from twofold symmetry,higher symmetry,does,However torsion angles along the main backbone of the molecule deviate from twofold symmetry by as much as 74 emsp14 3 deg  and the hydrogenbonding pattern does not conform to the higher symmetry,29,2,6,88,17,do,46,"{'suffice', 'fare', 'answer', 'behave', 'perform', 'make', 'practise', 'practice', 'execute', 'exercise', 'do', 'act', 'cause'}",does,twofold:0:symmetry:1:molecule:0:deviate,high:0:symmetry,2,10.1107/S0108270103018961,
molecule deviate from twofold symmetry,higher symmetry,conform to,However torsion angles along the main backbone of the molecule deviate from twofold symmetry by as much as 74 emsp14 3 deg  and the hydrogenbonding pattern does not conform to the higher symmetry,3,2,6,88,17,conform,3,"{'conform', 'adjust', 'adapt'}",conform to,twofold:0:symmetry:1:molecule:0:deviate,high:0:symmetry,2,10.1107/S0108270103018961,postfix: to
main backbone of the molecule deviate from twofold symmetry,higher symmetry,does,However torsion angles along the main backbone of the molecule deviate from twofold symmetry by as much as 74 emsp14 3 deg  and the hydrogenbonding pattern does not conform to the higher symmetry,29,2,6,88,17,do,46,"{'suffice', 'fare', 'answer', 'behave', 'perform', 'make', 'practise', 'practice', 'execute', 'exercise', 'do', 'act', 'cause'}",does,twofold:0:symmetry:1:molecule:0:deviate:2:main:0:backbone,high:0:symmetry,3,10.1107/S0108270103018961,
main backbone of the molecule deviate from twofold symmetry,higher symmetry,conform to,However torsion angles along the main backbone of the molecule deviate from twofold symmetry by as much as 74 emsp14 3 deg  and the hydrogenbonding pattern does not conform to the higher symmetry,3,2,6,88,17,conform,3,"{'conform', 'adjust', 'adapt'}",conform to,twofold:0:symmetry:1:molecule:0:deviate:2:main:0:backbone,high:0:symmetry,3,10.1107/S0108270103018961,postfix: to
tensor properties,principal symmetry,solved for,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,3,2,1,54,11,solve,31,"{'resolve', 'lick', 'solve'}",solved for,tensor:0:property,principal:0:symmetry,1,10.1107/S0567739480001209,postfix: for
general formulas,general tensor,be given,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,13,2,2,60,12,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",be:0:given,general:0:formula,general:0:tensor,1,10.1107/S0567739480001209,conjugated with: be
general formulas,general tensor,provide,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,16,2,2,60,12,provide,64,"{'cater', 'furnish', 'supply', 'ply', 'provide', 'render', 'leave', 'allow'}",provide,general:0:formula,general:0:tensor,1,10.1107/S0567739480001209,
tensor properties,simple general formulas,solved for,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,3,2,2,79,14,solve,31,"{'resolve', 'lick', 'solve'}",solved for,tensor:0:property,simple:1:general:0:formula,2,10.1107/S0567739480001209,postfix: for
simple general formulas,rank in these groups,be given,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,13,2,2,82,16,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",be:0:given,simple:1:general:0:formula,group:0:rank,2,10.1107/S0567739480001209,conjugated with: be
simple general formulas,rank in these groups,provide,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,16,2,2,82,16,provide,64,"{'cater', 'furnish', 'supply', 'ply', 'provide', 'render', 'leave', 'allow'}",provide,simple:1:general:0:formula,group:0:rank,2,10.1107/S0567739480001209,
rotational symmetry of crystals on their tensor properties,simple general formulas,solved for,The first part of the paper emphasizes that the problem of the effect of the rotational symmetry of crystals on their tensor properties is completely solved for the groups of 1 2 and 4fold principal symmetry since simple general formulas can be given which provide the schemes of a polar or axial general tensor of any rank in these groups thus yielding a closedform solution,3,1,2,79,14,solve,31,"{'resolve', 'lick', 'solve'}",solved for,tensor:0:property:2:crystal:1:rotational:0:symmetry,simple:1:general:0:formula,3,10.1107/S0567739480001209,postfix: for
general rules,corresponding scheme,be given to,In the second part it is emphasized that simple general rules can be given to obtain the schemes of a general or particular polar or axial tensor of any rank in the trigonal and hexagonal groups other than group 3 from the corresponding scheme in group 33z,4,2,2,162,31,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",be:0:given to,general:0:rule,correspond:0:scheme,1,10.1107/S0567739480001209,"conjugated with: be, postfix: to"
general rules,corresponding scheme,to obtain,In the second part it is emphasized that simple general rules can be given to obtain the schemes of a general or particular polar or axial tensor of any rank in the trigonal and hexagonal groups other than group 3 from the corresponding scheme in group 33z,10,2,2,162,31,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",to obtain,general:0:rule,correspond:0:scheme,1,10.1107/S0567739480001209,prefix: to
compact formulas and rules,recent literature,are applied to,These compact formulas and rules are applied to two specific tensor properties discussed in recent literature pointing out errors in some of the reported schemes,16,3,1,60,9,apply,34,"{'utilise', 'use', 'apply', 'implement', 'enforce', 'employ', 'practice', 'utilize'}",are:0:applied to,rule:0:compact:0:formula,recent:0:literature,1,10.1107/S0567739480001209,"conjugated with: are, postfix: to"
recent literature,reported schemes,pointing,These compact formulas and rules are applied to two specific tensor properties discussed in recent literature pointing out errors in some of the reported schemes,3,2,1,36,7,point,3,"{'indicate', 'betoken', 'orient', 'maneuver', 'steer', 'bespeak', 'manoeuvre', 'signal', 'channelize', 'luff', 'guide', 'head', 'show', 'level', 'point'}",pointing,recent:0:literature,report:0:scheme,1,10.1107/S0567739480001209,
compact formulas and rules,specific tensor properties,are applied to,These compact formulas and rules are applied to two specific tensor properties discussed in recent literature pointing out errors in some of the reported schemes,16,3,1,20,4,apply,34,"{'utilise', 'use', 'apply', 'implement', 'enforce', 'employ', 'practice', 'utilize'}",are:0:applied to,rule:0:compact:0:formula,specific:1:tensor:0:property,2,10.1107/S0567739480001209,"conjugated with: are, postfix: to"
recent literature,errors in some of the reported schemes,pointing,These compact formulas and rules are applied to two specific tensor properties discussed in recent literature pointing out errors in some of the reported schemes,3,2,2,14,2,point,3,"{'indicate', 'betoken', 'orient', 'maneuver', 'steer', 'bespeak', 'manoeuvre', 'signal', 'channelize', 'luff', 'guide', 'head', 'show', 'level', 'point'}",pointing,recent:0:literature,report:0:scheme:1:error,2,10.1107/S0567739480001209,
compact formulas and rules,specific tensor properties discussed in recent literature,are applied to,These compact formulas and rules are applied to two specific tensor properties discussed in recent literature pointing out errors in some of the reported schemes,16,3,1,20,4,apply,34,"{'utilise', 'use', 'apply', 'implement', 'enforce', 'employ', 'practice', 'utilize'}",are:0:applied to,rule:0:compact:0:formula,recent:0:literature:1:discuss:2:specific:1:tensor:0:property,3,10.1107/S0567739480001209,"conjugated with: are, postfix: to"
specific tensor properties discussed in recent literature,errors in some of the reported schemes,pointing,These compact formulas and rules are applied to two specific tensor properties discussed in recent literature pointing out errors in some of the reported schemes,3,1,2,14,2,point,3,"{'indicate', 'betoken', 'orient', 'maneuver', 'steer', 'bespeak', 'manoeuvre', 'signal', 'channelize', 'luff', 'guide', 'head', 'show', 'level', 'point'}",pointing,recent:0:literature:1:discuss:2:specific:1:tensor:0:property,report:0:scheme:1:error,3,10.1107/S0567739480001209,
Brief discussions,tensor schemes,given of,Brief discussions are finally given of various techniques to obtain the tensor schemes in the cylindrical and spherical groups in particular of the new methods introduced in paper I,7,4,2,55,9,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",given of,brief:0:discussion,tensor:0:scheme,1,10.1107/S1600536804009225,postfix: of
Brief discussions,tensor schemes,to obtain,Brief discussions are finally given of various techniques to obtain the tensor schemes in the cylindrical and spherical groups in particular of the new methods introduced in paper I,10,4,2,55,9,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",to obtain,brief:0:discussion,tensor:0:scheme,1,10.1107/S1600536804009225,prefix: to
Brief discussions,tensor schemes in the cylindrical and spherical groups,given of,Brief discussions are finally given of various techniques to obtain the tensor schemes in the cylindrical and spherical groups in particular of the new methods introduced in paper I,7,4,2,55,9,give,80,"{'have', 'yield', 'gift', 'pay', 'give', 'hold', 'afford', 'throw', 'present'}",given of,brief:0:discussion,spherical:0:cylindrical:1:group:2:tensor:0:scheme,3,10.1107/S1600536804009225,postfix: of
Brief discussions,tensor schemes in the cylindrical and spherical groups,to obtain,Brief discussions are finally given of various techniques to obtain the tensor schemes in the cylindrical and spherical groups in particular of the new methods introduced in paper I,10,4,2,55,9,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",to obtain,brief:0:discussion,spherical:0:cylindrical:1:group:2:tensor:0:scheme,3,10.1107/S1600536804009225,prefix: to
centrosymmetric structure,Waals interactions,is stabilized by,In the solid state the centrosymmetric structure of 1naphthalenol C10H8O is stabilized by both van der Waals interactions and intermolecular O mdash H,156,1,4,55,9,stabilize,182,"{'stabilize', 'brace', 'steady', 'stabilise'}",is:0:stabilized by,centrosymmetric:0:structure,waal:0:interaction,1,10.1107/S1600536804009225,"conjugated with: is, postfix: by"
title compound,absolute configuration,had been,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,60,304,6,92,14,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",had:0:been,title:0:compound,absolute:0:configuration,1,10.1107/S1600536804009882,conjugated with: had
title compound,absolute configuration,characterized by,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,14,304,6,92,14,characterize,23,"{'characterise', 'qualify', 'characterize'}",characterized by,title:0:compound,absolute:0:configuration,1,10.1107/S1600536804009882,postfix: by
title compound,absolute configuration,but was,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,2,304,6,92,14,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",but was,title:0:compound,absolute:0:configuration,1,10.1107/S1600536804009882,prefix: but
title compound,absolute configuration,reported with,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,2,304,6,92,14,report,22,"{'cover', 'report', 'account', 'describe'}",reported with,title:0:compound,absolute:0:configuration,1,10.1107/S1600536804009882,postfix: with
title compound,wrong absolute configuration,had been,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,60,304,4,86,13,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",had:0:been,title:0:compound,wrong:1:absolute:0:configuration,2,10.1107/S1600536804009882,conjugated with: had
title compound,wrong absolute configuration,characterized by,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,14,304,4,86,13,characterize,23,"{'characterise', 'qualify', 'characterize'}",characterized by,title:0:compound,wrong:1:absolute:0:configuration,2,10.1107/S1600536804009882,postfix: by
title compound,wrong absolute configuration,but was,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,2,304,4,86,13,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",but was,title:0:compound,wrong:1:absolute:0:configuration,2,10.1107/S1600536804009882,prefix: but
title compound,wrong absolute configuration,reported with,The title compound C6H10O6 had been previously characterized by Xray analysis but was reported with the wrong absolute configuration Jeffrey Rosenstein  amp  Vlasse 1967,2,304,4,86,13,report,22,"{'cover', 'report', 'account', 'describe'}",reported with,title:0:compound,wrong:1:absolute:0:configuration,2,10.1107/S1600536804009882,postfix: with
synchrotron beam,spatial resolution,has been used to,A synchrotron beam has been used to test the spatial resolution of a singlephotonresolving integrating readoutchip coupled to a 320 emsp14  micro mthick silicon strip sensor with a dedicated readout system,59,2,2,27,6,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",has been:0:used to,synchrotron:0:beam,spatial:0:resolution,1,10.1107/S090904951200235X,"conjugated with: has been, postfix: to"
synchrotron beam,spatial resolution,to test,A synchrotron beam has been used to test the spatial resolution of a singlephotonresolving integrating readoutchip coupled to a 320 emsp14  micro mthick silicon strip sensor with a dedicated readout system,1,2,2,27,6,test,6,"{'try', 'test', 'prove', 'essay', 'quiz', 'screen', 'examine'}",to test,synchrotron:0:beam,spatial:0:resolution,1,10.1107/S090904951200235X,prefix: to
Charge interpolation methods,spatial resolution of  sigma,have yielded,Charge interpolation methods have yielded a spatial resolution of  sigma x  sime  ,13,1,1,16,3,yield,25,"{'concede', 'succumb', 'grant', 'yield', 'soften', 'give', 'render', 'generate', 'cede', 'afford', 'relent'}",have:0:yielded,charge:1:interpolation:0:method,sigma:1:spatial:0:resolution,2,10.1107/S090904951200235X,conjugated with: have
macromolecular crystals,sample changers,has been defined for,A standard sample holder and vial for cryocooled macromolecular crystals has been defined for use with robotic sample changers,3,1,1,39,7,define,19,"{'delimitate', 'delimit', 'define', 'specify', 'delineate'}",has been:0:defined for,macromolecular:0:crystal,sample:0:changer,1,10.1107/S0907444906030587,"conjugated with: has been, postfix: for"
cryocooled macromolecular crystals,robotic sample changers,has been defined for,A standard sample holder and vial for cryocooled macromolecular crystals has been defined for use with robotic sample changers,3,1,1,31,6,define,19,"{'delimitate', 'delimit', 'define', 'specify', 'delineate'}",has been:0:defined for,cryocooled:1:macromolecular:0:crystal,robotic:1:sample:0:changer,2,10.1107/S0907444906030587,"conjugated with: has been, postfix: for"
vial for cryocooled macromolecular crystals,use with robotic sample changers,has been defined for,A standard sample holder and vial for cryocooled macromolecular crystals has been defined for use with robotic sample changers,3,1,1,22,4,define,19,"{'delimitate', 'delimit', 'define', 'specify', 'delineate'}",has been:0:defined for,cryocooled:1:macromolecular:0:crystal:2:vial,robotic:1:sample:0:changer:2:use,3,10.1107/S0907444906030587,"conjugated with: has been, postfix: for"
SPINE standard,sample exchange,meets,In particular the SPINE standard meets the precision required for automatic sample exchange and includes a cap that is identified by a twodimensional datamatrix code as well as an optional vial,2,2,1,44,6,meet,2,"{'assemble', 'fit', 'see', 'encounter', 'meet', 'satisfy', 'gather', 'fulfill', 'fulfil', 'match', 'converge', 'forgather', 'foregather', 'fill'}",meets,spine:0:standard,sample:0:exchange,1,10.1107/S0907444906030587,
sample exchange,datamatrix code,includes,In particular the SPINE standard meets the precision required for automatic sample exchange and includes a cap that is identified by a twodimensional datamatrix code as well as an optional vial,8,1,1,59,10,include,23,"{'admit', 'include'}",includes,sample:0:exchange,datamatrix:0:code,1,10.1107/S0907444906030587,
SPINE standard,automatic sample exchange,meets,In particular the SPINE standard meets the precision required for automatic sample exchange and includes a cap that is identified by a twodimensional datamatrix code as well as an optional vial,2,2,1,34,5,meet,2,"{'assemble', 'fit', 'see', 'encounter', 'meet', 'satisfy', 'gather', 'fulfill', 'fulfil', 'match', 'converge', 'forgather', 'foregather', 'fill'}",meets,spine:0:standard,automatic:1:sample:0:exchange,2,10.1107/S0907444906030587,
holder standard,robotic sample,is in,At the ESRF the sample holder standard is in use with the EMBLESRFBM14 robotic sample changer SC3 which is installed on eight beamlines,54,2,2,33,6,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",is in,holder:0:standard,robotic:0:sample,1,10.1107/S0907444906030587,postfix: in
holder standard,robotic sample,is in,At the ESRF the sample holder standard is in use with the EMBLESRFBM14 robotic sample changer SC3 which is installed on eight beamlines,54,2,2,33,6,be,301,"{'comprise', 'represent', 'be', 'personify', 'exist', 'constitute', 'embody', 'equal'}",is in,holder:0:standard,robotic:0:sample,1,10.1107/S0907444906030587,postfix: in
datamatrix reader,safe management,ensures,A datamatrix reader in the SC3 ensures safe management of the sample flow and facilitates fully automatic screening and characterization of samples,2,2,1,20,4,ensure,2,"{'ascertain', 'assure', 'check', 'secure', 'insure', 'ensure', 'control', 'guarantee'}",ensures,datamatrix:0:reader,safe:0:management,1,10.1107/S0907444906030587,
datamatrix reader,safe management of the sample flow,ensures,A datamatrix reader in the SC3 ensures safe management of the sample flow and facilitates fully automatic screening and characterization of samples,2,2,1,20,4,ensure,2,"{'ascertain', 'assure', 'check', 'secure', 'insure', 'ensure', 'control', 'guarantee'}",ensures,datamatrix:0:reader,sample:0:flow:1:safe:0:management,2,10.1107/S0907444906030587,
observed data,topological methods,analyzed,Multipolar pseudoatom refinement was carried out against 5417 observed data and the molecular electron density was analyzed using topological methods,3,2,6,55,8,analyze,7,"{'psychoanalyze', 'analyze', 'canvas', 'canvass', 'psychoanalyse', 'analyse', 'study', 'examine', 'dissect'}",analyzed,observe:0:datum,topological:0:method,1,10.1107/S0108768199014251,
observed data,topological methods,using,Multipolar pseudoatom refinement was carried out against 5417 observed data and the molecular electron density was analyzed using topological methods,198,2,6,55,8,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,observe:0:datum,topological:0:method,1,10.1107/S0108768199014251,
molecular electron density,topological methods,analyzed,Multipolar pseudoatom refinement was carried out against 5417 observed data and the molecular electron density was analyzed using topological methods,3,2,6,20,3,analyze,7,"{'psychoanalyze', 'analyze', 'canvas', 'canvass', 'psychoanalyse', 'analyse', 'study', 'examine', 'dissect'}",analyzed,molecular:1:electron:0:density,topological:0:method,2,10.1107/S0108768199014251,
molecular electron density,topological methods,using,Multipolar pseudoatom refinement was carried out against 5417 observed data and the molecular electron density was analyzed using topological methods,198,2,6,20,3,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,molecular:1:electron:0:density,topological:0:method,2,10.1107/S0108768199014251,
5417 observed data and the molecular electron density,topological methods,analyzed,Multipolar pseudoatom refinement was carried out against 5417 observed data and the molecular electron density was analyzed using topological methods,3,2,6,20,3,analyze,7,"{'psychoanalyze', 'analyze', 'canvas', 'canvass', 'psychoanalyse', 'analyse', 'study', 'examine', 'dissect'}",analyzed,molecular:1:electron:0:density:2:observe:0:datum,topological:0:method,3,10.1107/S0108768199014251,
5417 observed data and the molecular electron density,topological methods,using,Multipolar pseudoatom refinement was carried out against 5417 observed data and the molecular electron density was analyzed using topological methods,198,2,6,20,3,use,319,"{'utilise', 'use', 'habituate', 'apply', 'employ', 'practice', 'expend', 'utilize'}",using,molecular:1:electron:0:density:2:observe:0:datum,topological:0:method,3,10.1107/S0108768199014251,
electrostatic potential,molecular interactions,is discussed in,The experimental electrostatic potential around the molecule is discussed in terms of molecular interactions,3,1,1,46,8,discuss,25,"{'discourse', 'discuss'}",is:0:discussed in,electrostatic:0:potential,molecular:0:interaction,1,10.1107/S0108768199014251,"conjugated with: is, postfix: in"
experimental electrostatic potential,terms of molecular interactions,is discussed in,The experimental electrostatic potential around the molecule is discussed in terms of molecular interactions,3,1,2,37,6,discuss,25,"{'discourse', 'discuss'}",is:0:discussed in,experimental:1:electrostatic:0:potential,molecular:0:interaction:1:term,2,10.1107/S0108768199014251,"conjugated with: is, postfix: in"
experimental electrostatic potential around the molecule,terms of molecular interactions,is discussed in,The experimental electrostatic potential around the molecule is discussed in terms of molecular interactions,3,1,2,17,3,discuss,25,"{'discourse', 'discuss'}",is:0:discussed in,molecule:2:experimental:1:electrostatic:0:potential,molecular:0:interaction:1:term,3,10.1107/S0108768199014251,"conjugated with: is, postfix: in"
title compound,sodium dicyanamide,were obtained by,Brightblue crystals of the centrosymmetric title compound CuC2N32C11H6N2O2 were obtained by reacting copperII chloride with 45diazafluoren9one dafo and sodium dicyanamide,26,304,2,95,11,obtain,83,"{'get', 'incur', 'obtain', 'receive', 'prevail'}",were:0:obtained by,title:0:compound,sodium:0:dicyanamide,1,10.1107/S1600536804008876,"conjugated with: were, postfix: by"
